location,MaxDeathCount
United States,1127152
Brazil,704659
India,531925
Russia,399938
Mexico,334336
United Kingdom,228707
Peru,221364
Italy,191167
Germany,174979
France,167985
Indonesia,161916
Iran,146321
Colombia,142961
Argentina,130472
Spain,121852
China,121628
Poland,119636
Ukraine,109904
South Africa,102595
Turkey,101419
Japan,74694
Romania,68262
Philippines,66646
Chile,64497
Canada,53147
Hungary,48801
Vietnam,43206
Czechia,42815
Bulgaria,38397
Greece,37311
Malaysia,37187
Ecuador,36042
South Korea,35557
Thailand,34453
Belgium,34376
Pakistan,30656
Bangladesh,29476
Tunisia,29423
Portugal,27094
Iraq,25375
Egypt,24830
Sweden,24676
Netherlands,22986
Australia,22696
Austria,22534
Bolivia,22399
Slovakia,21167
Guatemala,20235
Paraguay,19961
Myanmar,19494
Kazakhstan,19072
Croatia,18290
Serbia,18057
Georgia,17122
Sri Lanka,16882
Bosnia and Herzegovina,16352
Morocco,16297
Jordan,14122
Switzerland,14034
Israel,12625
Moldova,12125
Nepal,12031
Honduras,11127
Lebanon,10947
Azerbaijan,10295
Finland,10138
North Macedonia,9941
Lithuania,9695
Saudi Arabia,9646
Slovenia,9431
Costa Rica,9428
Ireland,9148
Denmark,8780
Armenia,8751
Panama,8652
Cuba,8530
Afghanistan,7942
Uruguay,7634
Ethiopia,7574
Latvia,7374
Belarus,7118
Algeria,6881
Libya,6437
Puerto Rico,5938
Venezuela,5856
Zimbabwe,5713
Palestine,5708
Kenya,5689
Norway,5621
Sudan,5046
Oman,4628
Trinidad and Tobago,4390
Dominican Republic,4384
El Salvador,4230
Namibia,4098
Zambia,4069
Uganda,3632
Albania,3604
Jamaica,3596
New Zealand,3249
Kosovo,3209
Syria,3163
Nigeria,3155
Cambodia,3056
Estonia,2901
Botswana,2800
Malawi,2686
Montenegro,2654
Kuwait,2570
United Arab Emirates,2349
Mongolia,2284
Mozambique,2243
Yemen,2159
Cameroon,1974
Senegal,1971
Angola,1934
Singapore,1872
Bahrain,1536
Democratic Republic of Congo,1468
Rwanda,1468
Ghana,1462
Eswatini,1427
Madagascar,1425
Suriname,1408
Cyprus,1364
Somalia,1361
Guyana,1299
Martinique,1104
Mauritius,1053
Kyrgyzstan,1024
Guadeloupe,1021
Uzbekistan,1016
Luxembourg,1000
Mauritania,997
Reunion,921
Fiji,885
Malta,873
Haiti,860
Tanzania,846
Bahamas,844
Cote d'Ivoire,835
Mali,743
Lesotho,706
Qatar,690
Belize,688
Laos,671
Papua New Guinea,670
French Polynesia,649
Barbados,620
Guinea,468
Guam,416
Cape Verde,415
French Guiana,413
Saint Lucia,409
Burkina Faso,396
Congo,389
Gambia,372
Maldives,316
Niger,315
New Caledonia,314
Gabon,307
Curacao,305
Liberia,294
Aruba,292
Togo,290
Nicaragua,245
Grenada,238
Chad,194
Djibouti,189
Mayotte,187
Iceland,186
Equatorial Guinea,183
Guinea-Bissau,177
Seychelles,172
Bermuda,165
Brunei,163
Benin,163
Comoros,161
Jersey,161
Andorra,159
Solomon Islands,153
Antigua and Barbuda,146
South Sudan,138
Timor,138
United States Virgin Islands,132
Sierra Leone,126
San Marino,125
Tajikistan,125
Saint Vincent and the Grenadines,124
Isle of Man,116
Gibraltar,113
Central African Republic,113
Eritrea,103
Sint Maarten (Dutch part),92
Liechtenstein,87
Sao Tome and Principe,80
Dominica,74
Monaco,67
Guernsey,67
Micronesia (country),65
British Virgin Islands,64
Saint Kitts and Nevis,46
Saint Martin (French part),46
Northern Mariana Islands,41
Bonaire Sint Eustatius and Saba,41
Turks and Caicos Islands,39
Cayman Islands,37
American Samoa,34
Samoa,31
Faeroe Islands,28
Kiribati,24
Greenland,21
Bhutan,21
Marshall Islands,17
Burundi,15
Vanuatu,14
Anguilla,12
Tonga,12
Palau,9
Wallis and Futuna,8
Montserrat,8
Saint Barthelemy,5
Cook Islands,2
Saint Pierre and Miquelon,2
Nauru,1
Tuvalu,1
Vatican,NULL
Saint Helena,NULL
Macao,NULL
Scotland,NULL
Falkland Islands,NULL
Wales,NULL
Western Sahara,NULL
Hong Kong,NULL
England,NULL
Taiwan,NULL
North Korea,NULL
Northern Ireland,NULL
Turkmenistan,NULL
Northern Cyprus,NULL
Pitcairn,NULL
Tokelau,NULL
Niue,NULL
